               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10048,            0.029208,            0.039708,           0.0027764,             0.79643,           0.0096703,             0.00363,            0.064384,            0.014853,            0.029196,              0.0883,              0.0013,              0.0013
                   1,            0.075998,             0.02873,            0.033763,           0.0029705,             0.89167,            0.018301,            0.004635,            0.063324,             0.01167,            0.026413,            0.075647,           0.0026465,           0.0026465
                   2,            0.066631,            0.026864,            0.031944,           0.0029666,             0.89167,             0.13848,             0.03609,            0.052886,           0.0096359,            0.024069,            0.062938,           0.0039376,           0.0039376
                   3,            0.053723,            0.023921,            0.025407,             0.44984,             0.34524,              0.3263,             0.10505,            0.046751,           0.0092247,            0.025049,            0.050173,           0.0051733,           0.0051733
                   4,            0.053811,            0.021426,            0.029817,             0.49618,             0.30357,             0.29554,             0.11309,            0.040597,           0.0083418,            0.025003,            0.037354,           0.0063535,           0.0063535
                   5,            0.055215,            0.020867,            0.028936,             0.42274,            0.089286,             0.14929,            0.085292,            0.042789,           0.0064313,            0.024371,            0.024478,           0.0074783,           0.0074783
                   6,            0.052237,            0.018547,            0.024962,            0.061458,             0.17262,            0.083513,            0.030535,            0.040823,           0.0065701,            0.023904,            0.011548,           0.0085476,           0.0085476
                   7,            0.050904,            0.019873,            0.027123,             0.11663,             0.13095,             0.19685,            0.057704,            0.045209,           0.0065291,            0.022797,            0.008614,            0.008614,            0.008614
                   8,            0.061174,            0.018652,            0.029356,             0.59728,             0.17857,             0.27003,            0.074753,            0.043137,           0.0069818,             0.02146,            0.008614,            0.008614,            0.008614
                   9,            0.049005,            0.019495,            0.025824,             0.25459,             0.33137,             0.21955,            0.091785,            0.041833,           0.0064373,            0.017825,            0.008416,            0.008416,            0.008416
                  10,            0.044769,            0.019648,            0.025262,             0.93142,             0.26621,             0.38801,             0.13113,            0.039923,           0.0063257,            0.017734,            0.008218,            0.008218,            0.008218
                  11,            0.044907,            0.018927,            0.026499,             0.57172,              0.2619,             0.23439,            0.083291,            0.042142,           0.0071859,            0.017775,             0.00802,             0.00802,             0.00802
                  12,             0.04526,            0.018885,            0.023298,             0.53313,              0.3631,             0.26884,             0.11136,            0.036957,           0.0061488,            0.018159,            0.007822,            0.007822,            0.007822
                  13,            0.041656,            0.018593,            0.022182,             0.68259,             0.42297,             0.47249,             0.23087,            0.029713,           0.0059037,            0.017766,            0.007624,            0.007624,            0.007624
                  14,            0.042236,            0.016847,            0.021379,             0.86108,             0.27381,             0.46066,             0.19587,            0.036092,           0.0057249,            0.020938,            0.007426,            0.007426,            0.007426
                  15,            0.040431,            0.017134,            0.019039,             0.83096,             0.35567,             0.47385,             0.23365,            0.030772,           0.0061054,            0.022183,            0.007228,            0.007228,            0.007228
                  16,            0.042946,            0.017554,            0.018222,             0.84637,             0.32143,             0.44038,             0.20734,            0.027649,           0.0059786,             0.01956,             0.00703,             0.00703,             0.00703
                  17,            0.038508,            0.016952,            0.022423,             0.36883,             0.49396,               0.505,             0.18888,            0.031951,           0.0056634,             0.02558,            0.006832,            0.006832,            0.006832
                  18,            0.036629,            0.017102,            0.021996,             0.41935,              0.5715,               0.508,             0.28429,            0.028886,           0.0058126,            0.022595,            0.006634,            0.006634,            0.006634
                  19,            0.039796,            0.016665,            0.017768,             0.46665,             0.52619,             0.47844,             0.25468,            0.032891,           0.0064225,             0.02282,            0.006436,            0.006436,            0.006436
                  20,            0.032472,            0.016394,            0.019889,             0.48705,             0.51112,             0.51263,             0.26669,            0.031953,           0.0061436,            0.016901,            0.006238,            0.006238,            0.006238
                  21,            0.042069,            0.016112,            0.015859,             0.67394,             0.47065,             0.55837,             0.22185,            0.031284,           0.0062294,             0.01951,             0.00604,             0.00604,             0.00604
                  22,            0.034573,            0.017124,            0.015408,             0.64827,             0.51905,             0.61335,             0.28797,            0.031574,           0.0062194,            0.018196,            0.005842,            0.005842,            0.005842
